TR10065-1	Bilirubin	Chem	ACTIVE	2022-12-15	\N	\N	100000.170.000
TR10066-9	5-fluorocytosine	Chem	ACTIVE	2011-07-01	\N	\N	\N
TR10067-7	Bilirubin Glucuronidated	Chem	ACTIVE	\N	\N	\N	100000.171.000
TR10068-5	Bilirubin Non-Glucuronidated	Chem	ACTIVE	\N	\N	\N	100000.172.000
TR10069-3	Bismuth	Chem	ACTIVE	\N	\N	\N	\N
TR10070-1	Volume	Chem	ACTIVE	\N	\N	\N	100000.051.000
TR10071-9	Boron	Chem	ACTIVE	\N	\N	\N	\N
TR10072-7	Bromide	Chem	ACTIVE	\N	\N	\N	100000.155.000
TR10073-5	Bromosulphthalein	Chem	ACTIVE	\N	\N	\N	\N
TR10074-3	Bupivacaine	Chem	ACTIVE	\N	\N	\N	\N
TR10075-0	Busulfan	Chem	ACTIVE	\N	\N	\N	\N
TR10076-8	Butabarbital	Chem	ACTIVE	\N	\N	\N	\N
TR10077-6	Butalbital	Chem	ACTIVE	\N	\N	\N	\N
TR10078-4	5-Hydroxyindoleacetate	Chem	ACTIVE	\N	\N	\N	100000.261.000
TR10079-2	C Peptide	Chem	ACTIVE	\N	\N	\N	100000.104.000
TR10080-0	Cadmium	Chem	ACTIVE	\N	\N	\N	100000.374.000
TR10081-8	Caffeine	Chem	ACTIVE	\N	\N	\N	\N
TR10082-6	Calcidiol (Vitamin D 25-Hydroxy)	Chem	ACTIVE	2022-12-15	\N	\N	100000.212.000
TR10083-4	Calcitonin	Chem	ACTIVE	\N	\N	\N	100000.155.500
TR10084-2	Calcitriol (Vitamin D 1,25-Dihyroxy)	Chem	ACTIVE	2011-12-12	\N	\N	100000.213.000
TR10085-9	Calcium	Chem	ACTIVE	\N	\N	\N	100000.155.100
TR10086-7	Calcium Ionized	Chem	ACTIVE	\N	\N	\N	100000.155.300
TR10087-5	Calculus Analysis	Chem	ACTIVE	\N	\N	\N	100000.184.200
TR10088-3	Cancer Antigen 125	Chem	ACTIVE	\N	\N	\N	100000.295.100
TR10089-1	5-Hydroxyindoleacetate Screen	Chem	ACTIVE	\N	\N	\N	100000.262.000
TR10090-9	Cancer Antigen 15-3	Chem	ACTIVE	\N	\N	\N	100000.295.000
TR10091-7	Cancer Antigen 19-5	Chem	ACTIVE	\N	\N	\N	\N
TR10092-5	Cancer Antigen 19-9	Chem	ACTIVE	\N	\N	\N	100000.295.200
TR10093-3	Cancer Antigen 242	Chem	ACTIVE	\N	\N	\N	\N
TR10094-1	Cancer Antigen 27-29	Chem	ACTIVE	\N	\N	\N	\N
TR10095-8	Cancer Antigen 50	Chem	ACTIVE	\N	\N	\N	\N
TR10096-6	Cancer Antigen 549	Chem	ACTIVE	\N	\N	\N	\N
TR10097-4	Cancer Antigen 72-4	Chem	ACTIVE	\N	\N	\N	\N
TR10098-2	Cancer Antigen DM/70K	Chem	ACTIVE	\N	\N	\N	\N
TR10099-0	Cannabinoids Screen	Chem	ACTIVE	\N	\N	\N	100000.506.000
TR10100-6	5-Nucleotidase	Chem	ACTIVE	\N	\N	\N	100000.227.000
TR10101-4	Carbamazepine	Chem	ACTIVE	\N	\N	\N	100000.507.000
TR10102-2	Carbamazepine Epoxide	Chem	ACTIVE	\N	\N	\N	\N
TR10103-0	Carbon Dioxide	Chem	ACTIVE	\N	\N	\N	100000.148.200
TR10104-8	Carboxyhemoglobin	Chem	ACTIVE	\N	\N	\N	100000.148.300
TR10105-5	Carcinoembryonic Antigen	Chem	ACTIVE	\N	\N	\N	100000.290.000
TR10106-3	Carnitine	Chem	ACTIVE	\N	\N	\N	100000.315.000
TR10107-1	Carotene	Chem	ACTIVE	\N	\N	\N	100000.211.000
