3099	SCC	LifeLabs	1122 Lasalle Blvd.	\N	Sudbury	P3A 1Y4	2.16.840.1.113883.3.59.2	ACTIVE
3100	SCC	LifeLabs	Azilda Shopping Plaza	Notre Dame Avenue	Azilda	P0M 1B0	2.16.840.1.113883.3.59.2	ACTIVE
3101	SCC	LifeLabs	389 Main Street East	\N	Picton	K0K 2T0	2.16.840.1.113883.3.59.2	ACTIVE
3126	SCC	Alpha Laboratories Incorporated	2025 Midland Avenue	Suite 402	Toronto	M1P 3E2	2.16.840.1.113883.3.59.2	ACTIVE
3127	SCC	Alpha Laboratories Incorporated	2130 Lawrence Ave. East	Suite 300	Scarborough	M1R 3A6	2.16.840.1.113883.3.59.2	ACTIVE
3128	SCC	Alpha Laboratories Incorporated	151 Wellesley Street East	\N	Toronto	M4Y 1J4	2.16.840.1.113883.3.59.2	ACTIVE
3129	SCC	Alpha Laboratories Incorporated	45 Overlea Boulevard	\N	East York	M4H 1C3	2.16.840.1.113883.3.59.2	ACTIVE
3139	SCC	LifeLabs	30 Thirteenth Street	\N	Cornwall	K6H 6V9	2.16.840.1.113883.3.59.2	ACTIVE
3140	SCC	LifeLabs	564 Belmont Avenue West	\N	Kitchener	N2M 5N6	2.16.840.1.113883.3.59.2	ACTIVE
3149	SCC	LifeLabs	525 Belmont Avenue West	Suite 107	Kitchener	N2M 5E2	2.16.840.1.113883.3.59.2	ACTIVE
3150	SCC	LifeLabs	145 Queenston Street	\N	St. Catharines	L2R 2Z9	2.16.840.1.113883.3.59.2	ACTIVE
3151	SCC	LifeLabs	672 Brant Street	\N	Burlington	L7R 2H3	2.16.840.1.113883.3.59.2	ACTIVE
3152	SCC	LifeLabs	200/206 James Street South	Suite 103	Hamilton	L8P 3A9	2.16.840.1.113883.3.59.2	ACTIVE
3153	SCC	Dynacare	466 Goderich Street	\N	Port Elgin	N0H 2C4	2.16.840.1.113883.3.59.2	ACTIVE
3154	SCC	LifeLabs	1 Belton Boulevard	\N	St. Catharines	L2T 3Y4	2.16.840.1.113883.3.59.2	ACTIVE
3155	SCC	LifeLabs	589 Lake Street	\N	St. Catharines	L2N 7L6	2.16.840.1.113883.3.59.2	ACTIVE
3157	SCC	LifeLabs	281 Stone Road	\N	Guelph	N1G 5J5	2.16.840.1.113883.3.59.2	ACTIVE
3158	SCC	LifeLabs	Pine Street Shopping Plaza	\N	Thorold	L2V 3Z9	2.16.840.1.113883.3.59.2	ACTIVE
3161	SCC	Dynacare	2 Dundas Street West	\N	Belleville	K8P 1A1	2.16.840.1.113883.3.59.2	ACTIVE
3163	SCC	LifeLabs	4430 Bathurst Street, #211	\N	North York	M3H 3S3	2.16.840.1.113883.3.59.2	ACTIVE
3174	SCC	LifeLabs	1615 Dufferin Street	Basement	Toronto	M6H 4H4	2.16.840.1.113883.3.59.2	ACTIVE
3175	SCC	Dynacare	738 Notre Dame Street,	Embrun, Ontario K0A 1W1	Ottawa	K0A 1W1	2.16.840.1.113883.3.59.2	ACTIVE
3188	SCC	Dynacare	649 Scottsdale Drive	\N	Guelph	N1G 4T7	2.16.840.1.113883.3.59.2	ACTIVE
3190	SCC	Dynacare	7155 Woodbine Avenue	\N	Markham	L3R 1A3	2.16.840.1.113883.3.59.2	ACTIVE
3191	SCC	LifeLabs	6506 Tecumseh Road East	\N	Windsor	N8T 1E6	2.16.840.1.113883.3.59.2	ACTIVE
3194	SCC	Medical Laboratories of Windsor Limited	5841 Malden Road	Suite 112	LaSalle	N9H 1S0	2.16.840.1.113883.3.59.2	ACTIVE
3203	SCC	LifeLabs	4190 Finch Avenue East	Suite LL01	Scarborough	M1S 4T7	2.16.840.1.113883.3.59.2	ACTIVE
3207	SCC	Dynacare	39 Cameron Street West, Cannington, ON	\N	Durham	L0E 1E0	2.16.840.1.113883.3.59.2	ACTIVE
3212	SCC	LifeLabs	210 Memorial Avenue	Suite 107	Orillia	L3V 7V1	2.16.840.1.113883.3.59.2	ACTIVE
3213	SCC	LifeLabs	1450 Headon Road	\N	Burlington	L7M 3Z5	2.16.840.1.113883.3.59.2	ACTIVE
3215	SCC	FlowLabs - Whitby	198 Des Newman Boulevard	Unit 0458	Whitby	L1P 0P9	2.16.840.1.113883.3.59.2	ACTIVE
3218	SCC	Alpha Laboratories Incorporated	100 King Street West	Unit CN0108	Toronto	M5X 1A4	2.16.840.1.113883.3.59.2	ACTIVE
3222	SCC	Alpha Laboratories Incorporated	3420 Finch Avenue East	Suite 204	Scarborough	M1W 2R6	2.16.840.1.113883.3.59.2	ACTIVE
3224	SCC	Dynacare	130 King Street West	Suite CWW1	Toronto	M5X 2A2	2.16.840.1.113883.3.59.2	ACTIVE
3226	SCC	LifeLabs	18 Pine Street	Suite 103	Kitchener	N1H 5Z8	2.16.840.1.113883.3.59.2	ACTIVE
3227	SCC	Dynacare	12357 Hwy 41	\N	Northbrook	K0H 2G0	2.16.840.1.113883.3.59.2	ACTIVE
3229	SCC	Bio-Test Laboratory Incorporated	139 Greenbank Road	\N	Nepean	K2H 8R1	2.16.840.1.113883.3.59.2	ACTIVE
3234	SCC	LifeLabs	372 Hollandview Trail	\N	Aurora	L4G 0A5	2.16.840.1.113883.3.59.2	ACTIVE
3248	SCC	Dynacare	40 Elm Street	\N	Sudbury	P3C 1S8	2.16.840.1.113883.3.59.2	ACTIVE
3249	SCC	Dynacare	208 Hill Street	\N	Corunna	N0N 1G0	2.16.840.1.113883.3.59.2	ACTIVE
3250	SCC	Hospitals In-Common Laboratory Inc.	145 Queen Street East	\N	Brampton	L6W 3P8	2.16.840.1.113883.3.59.2	ACTIVE
3254	SCC	Hospitals In-Common Laboratory Inc.	33 King Street West	\N	Bolton	L0P 1A0	2.16.840.1.113883.3.59.2	ACTIVE
3256	SCC	Hospitals In-Common Laboratory Inc.	9780 Bramalea Road	5th Floor	Brampton	L6T 3S1	2.16.840.1.113883.3.59.2	ACTIVE
3257	SCC	Hospitals In-Common Laboratory Inc.	89 Humber College Boulevard	Suite 125	Etobicoke	M9V 4B8	2.16.840.1.113883.3.59.2	ACTIVE
3262	SCC	LifeLabs	22 Richmond Street	\N	Richmond Hill	L4C 3Y1	2.16.840.1.113883.3.59.2	ACTIVE
3263	SCC	LifeLabs	15017 Yonge Street South	\N	Aurora	L4G 1M5	2.16.840.1.113883.3.59.2	ACTIVE
3264	SCC	LifeLabs	86 Angeline Street South	\N	Lindsay	K9V 6C5	2.16.840.1.113883.3.59.2	ACTIVE
3265	SCC	LifeLabs	2917 Bloor Street West	Suite 20	Etobicoke	M8X 1B4	2.16.840.1.113883.3.59.2	ACTIVE
3270	SCC	Dynacare	100 East Street South	Bobcaygeon, City of Kawartha Lak	Kawartha Lakes	K0M 1A0	2.16.840.1.113883.3.59.2	ACTIVE
3271	SCC	Waterloo Regional Health Network at Chicopee	3570 King St E	\N	Kitchener	N2A 2W1	2.16.840.1.113883.3.59.2	ACTIVE
3275	SCC	LifeLabs	8787 Woodbine Avenue	\N	Markham	L3R 9S2	2.16.840.1.113883.3.59.2	ACTIVE
3277	SCC	LifeLabs	255 Bagot Street	\N	Kingston	K7L 3G4	2.16.840.1.113883.3.59.2	ACTIVE
3286	SCC	LifeLabs	800 Bathurst Street	Suite 306	Toronto	M5R 3M8	2.16.840.1.113883.3.59.2	ACTIVE
3296	SCC	Hospitals In-Common Laboratory Inc.	15 Elizabeth Street	Suite L10	Orangeville	L9W 3X3	2.16.840.1.113883.3.59.2	ACTIVE
3297	SCC	Intercounty Laboratories Limited	119 Pine Street South	\N	Timmins	P4N 2K3	2.16.840.1.113883.3.59.2	ACTIVE
3300	SCC	LifeLabs	180 Parsons Road	Unit 39	Alliston	L0M 1A0	2.16.840.1.113883.3.59.2	ACTIVE
3306	SCC	Hospitals In-Common Laboratory Inc.	1A Princess Anne Drive	\N	Georgetown	L7G 4W4	2.16.840.1.113883.3.59.2	ACTIVE
3307	SCC	St. Michael's Hospital - St. Lawrence Health Centre	140 The Esplanade	Unit #3	Toronto	M5A 4P5	2.16.840.1.113883.3.59.2	ACTIVE
3311	SCC	LifeLabs	145 Queen Street	\N	Brampton	L6W 3P8	2.16.840.1.113883.3.59.2	ACTIVE
3314	SCC	LifeLabs	4471 Notre Dame Street	\N	Hanmer	P3P 1S9	2.16.840.1.113883.3.59.2	ACTIVE
3318	SCC	LifeLabs	2 Dewside Drive	\N	Brampton	L6R 0X5	2.16.840.1.113883.3.59.2	ACTIVE
